IncidntNum,Category,Description,DayOfWeek,Date,time,Pddistrict,Resolution,Address,X,Y,location,Pdid
150467029,ROBBERY,"ROBBERY, BODILY FORCE",Thursday,05/28/2015,22:52,INGLESIDE,NONE,900 Block of PARIS ST,-122.4396163,37.7153102,"(37.7153102013802, -122.439616254096)",1.50E+13
156129049,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,05/28/2015,22:45,PARK,NONE,600 Block of BAKER ST,-122.4415168,37.77692187,"(37.7769218703162, -122.441516753576)",1.56E+13
150466996,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,05/28/2015,22:45,INGLESIDE,"ARREST, BOOKED",MISSION ST / 29TH ST,-122.4208966,37.74403815,"(37.7440381549154, -122.420896598735)",1.50E+13
156131436,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,22:30,BAYVIEW,NONE,200 Block of WILLIAMS AV,-122.3977444,37.72993469,"(37.7299346936044, -122.397744427103)",1.56E+13
156128552,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,05/28/2015,22:30,RICHMOND,NONE,600 Block of 42ND AV,-122.5028066,37.7763823,"(37.7763822984664, -122.502806579703)",1.56E+13
150467994,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,22:30,SOUTHERN,NONE,HARRISON ST / 4TH ST,-122.3996176,37.78079066,"(37.7807906550067, -122.399617558782)",1.50E+13
156127855,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,22:20,NORTHERN,NONE,1300 Block of WEBSTER ST,-122.4310464,37.78302957,"(37.7830295716044, -122.431046366089)",1.56E+13
150468914,NON-CRIMINAL,LOST PROPERTY,Thursday,05/28/2015,22:15,TARAVAL,NONE,IRVING ST / 35TH AV,-122.4942697,37.76280343,"(37.762803431969, -122.494269696364)",1.50E+13
150466899,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,05/28/2015,22:07,SOUTHERN,"ARREST, BOOKED",BRANNAN ST / 2ND ST,-122.3920823,37.78184577,"(37.7818457722573, -122.392082305321)",1.50E+13
150466899,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Thursday,05/28/2015,22:07,SOUTHERN,"ARREST, BOOKED",BRANNAN ST / 2ND ST,-122.3920823,37.78184577,"(37.7818457722573, -122.392082305321)",1.50E+13
150466924,ASSAULT,BATTERY,Thursday,05/28/2015,22:00,MISSION,NONE,2800 Block of MISSION ST,-122.418434,37.75141993,"(37.7514199300011, -122.418434028318)",1.50E+13
150467762,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Thursday,05/28/2015,22:00,BAYVIEW,NONE,900 Block of VERMONT ST,-122.4034429,37.75770606,"(37.7577060629957, -122.403442888647)",1.50E+13
150467762,VEHICLE THEFT,STOLEN TRUCK,Thursday,05/28/2015,22:00,BAYVIEW,NONE,900 Block of VERMONT ST,-122.4034429,37.75770606,"(37.7577060629957, -122.403442888647)",1.50E+13
150468061,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Thursday,05/28/2015,22:00,TARAVAL,NONE,0 Block of LAKEVIEW AV,-122.4508129,37.71633446,"(37.7163344598525, -122.450812856137)",1.50E+13
150467621,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,22:00,BAYVIEW,NONE,1100 Block of DEHARO ST,-122.4006775,37.75589875,"(37.755898750597, -122.400677469279)",1.50E+13
156128643,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,05/28/2015,22:00,NORTHERN,NONE,800 Block of OFARRELL ST,-122.4187296,37.7850075,"(37.785007503993, -122.418729600557)",1.56E+13
156129685,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,05/28/2015,22:00,TARAVAL,NONE,2700 Block of 36TH AV,-122.4934032,37.73576633,"(37.7357663349494, -122.493403241013)",1.56E+13
150467825,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,22:00,PARK,NONE,100 Block of DEVONSHIRE WY,-122.4599452,37.7554536,"(37.7554535973183, -122.459945163373)",1.50E+13
156131442,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,22:00,BAYVIEW,NONE,400 Block of MISSOURI ST,-122.3962744,37.76065495,"(37.7606549517992, -122.396274357968)",1.56E+13
156128637,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,22:00,NORTHERN,NONE,CALIFORNIA ST / BUCHANAN ST,-122.4305518,37.78932277,"(37.7893227716214, -122.430551779801)",1.56E+13
150466968,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,05/28/2015,21:56,TENDERLOIN,NONE,100 Block of TAYLOR ST,-122.4107917,37.78369523,"(37.7836952269749, -122.410791677645)",1.50E+13
150466968,"SEX OFFENSES, FORCIBLE",SEXUAL BATTERY,Thursday,05/28/2015,21:56,TENDERLOIN,NONE,100 Block of TAYLOR ST,-122.4107917,37.78369523,"(37.7836952269749, -122.410791677645)",1.50E+13
150467007,NON-CRIMINAL,LOST PROPERTY,Thursday,05/28/2015,21:50,NORTHERN,NONE,200 Block of FILLMORE ST,-122.4303268,37.77188802,"(37.7718880239667, -122.430326792907)",1.50E+13
150466805,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,05/28/2015,21:50,SOUTHERN,"ARREST, BOOKED",BRANNAN ST / 2ND ST,-122.3920823,37.78184577,"(37.7818457722573, -122.392082305321)",1.50E+13
150466805,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Thursday,05/28/2015,21:50,SOUTHERN,"ARREST, BOOKED",BRANNAN ST / 2ND ST,-122.3920823,37.78184577,"(37.7818457722573, -122.392082305321)",1.50E+13
150467477,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,21:45,INGLESIDE,NONE,0 Block of REGENT ST,-122.4564078,37.70969176,"(37.709691756097, -122.456407784485)",1.50E+13
156130933,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,05/28/2015,21:45,NORTHERN,NONE,300 Block of GROVE ST,-122.4223481,37.77786178,"(37.7778617759699, -122.422348143857)",1.56E+13
150466930,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,05/28/2015,21:45,BAYVIEW,"ARREST, BOOKED",QUESADA AV / 3RD ST,-122.3912456,37.7332252,"(37.7332252032804, -122.391245623019)",1.50E+13
150469843,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,21:30,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,"(37.775420706711, -122.403404791479)",1.50E+13
156132791,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,05/28/2015,21:30,INGLESIDE,NONE,4100 Block of MISSION ST,-122.4298017,37.73038195,"(37.7303819548591, -122.429801668764)",1.56E+13
156131618,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,21:30,BAYVIEW,NONE,20TH ST / TENNESSEE ST,-122.3894887,37.76043683,"(37.7604368265074, -122.389488719233)",1.56E+13
150468823,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,21:15,INGLESIDE,NONE,0 Block of HOLLYPARK CR,-122.4200503,37.73827418,"(37.7382741750777, -122.420050289878)",1.50E+13
150464100,OTHER OFFENSES,"TRAFFIC COLLISION, HIT &amp; RUN, PROPERTY DAMAGE",Thursday,05/28/2015,21:10,INGLESIDE,"ARREST, BOOKED",900 Block of GENEVA AV,-122.4399098,37.71576543,"(37.715765426995, -122.439909766772)",1.50E+13
150466742,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,05/28/2015,21:09,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.4058954,37.78673422,"(37.7867342184983, -122.405895369887)",1.50E+13
150466833,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,05/28/2015,21:07,NORTHERN,NONE,2100 Block of CHESTNUT ST,-122.4387233,37.80055836,"(37.8005583558889, -122.43872325496)",1.50E+13
150469445,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,21:00,BAYVIEW,NONE,1500 Block of YOSEMITE AV,-122.390713,37.72637581,"(37.7263758128285, -122.390712980282)",1.50E+13
150469445,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,05/28/2015,21:00,BAYVIEW,NONE,1500 Block of YOSEMITE AV,-122.390713,37.72637581,"(37.7263758128285, -122.390712980282)",1.50E+13
150469445,TRESPASS,TRESPASSING,Thursday,05/28/2015,21:00,BAYVIEW,NONE,1500 Block of YOSEMITE AV,-122.390713,37.72637581,"(37.7263758128285, -122.390712980282)",1.50E+13
150467728,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,21:00,NORTHERN,NONE,FRANCISCO ST / VANNESS AV,-122.4249235,37.80320427,"(37.8032042719901, -122.424923476878)",1.50E+13
150467687,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,21:00,BAYVIEW,NONE,JENNINGS ST / HOLLISTER AV,-122.3943042,37.7207847,"(37.7207846959676, -122.394304218721)",1.50E+13
156128621,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,05/28/2015,21:00,NORTHERN,NONE,HOLLIS ST / ELLIS ST,-122.4300536,37.7826724,"(37.7826724016215, -122.43005356191)",1.56E+13
150466695,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,05/28/2015,20:45,NORTHERN,NONE,1300 Block of POLK ST,-122.420379,37.78940148,"(37.7894014789877, -122.420379009339)",1.50E+13
150466855,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:40,MISSION,NONE,600 Block of ALABAMA ST,-122.4120562,37.76098991,"(37.7609899089142, -122.412056242405)",1.50E+13
150467182,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,20:30,SOUTHERN,NONE,BRYANT ST / BEALE ST,-122.3896395,37.78622504,"(37.7862250418081, -122.389639531543)",1.50E+13
156128706,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:30,NORTHERN,NONE,FRANKLIN ST / MCALLISTER ST,-122.4218931,37.77989123,"(37.779891233614, -122.421893134467)",1.56E+13
156131420,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:25,BAYVIEW,NONE,24TH ST / ILLINOIS ST,-122.3869421,37.75416798,"(37.7541679837666, -122.386942103872)",1.56E+13
150469558,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,05/28/2015,20:15,SOUTHERN,NONE,700 Block of MARKET ST,-122.4039191,37.7871161,"(37.7871160984672, -122.403919148357)",1.50E+13
150469558,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,05/28/2015,20:15,SOUTHERN,NONE,700 Block of MARKET ST,-122.4039191,37.7871161,"(37.7871160984672, -122.403919148357)",1.50E+13
156128126,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:15,PARK,NONE,700 Block of HAIGHT ST,-122.4345806,37.77163611,"(37.7716361114909, -122.434580561451)",1.56E+13
150466617,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,05/28/2015,20:08,TARAVAL,"ARREST, BOOKED",19TH AV / TARAVAL ST,-122.4756443,37.74305055,"(37.7430505534925, -122.475644251197)",1.50E+13
150466598,TRESPASS,TRESPASSING,Thursday,05/28/2015,20:05,SOUTHERN,NONE,700 Block of HOWARD ST,-122.4016587,37.78416669,"(37.7841666882161, -122.401658663476)",1.50E+13
150466980,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:00,SOUTHERN,NONE,500 Block of BRANNAN ST,-122.3977132,37.77746967,"(37.7774696662398, -122.397713226445)",1.50E+13
156128897,NON-CRIMINAL,LOST PROPERTY,Thursday,05/28/2015,20:00,TARAVAL,NONE,3200 Block of 20TH AV,-122.4756475,37.72852806,"(37.7285280627465, -122.475647460786)",1.56E+13
150466736,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:00,CENTRAL,NONE,POWELL ST / NORTHPOINT ST,-122.4121433,37.8067579,"(37.8067579023106, -122.412143310586)",1.50E+13
156128546,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,05/28/2015,20:00,RICHMOND,NONE,JACKSON ST / WALNUT ST,-122.4491903,37.79060659,"(37.7906065941409, -122.44919029937)",1.56E+13
156128596,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,05/28/2015,20:00,NORTHERN,NONE,ELLIS ST / LARKIN ST,-122.4177103,37.78423629,"(37.7842362877887, -122.417710344726)",1.56E+13
150466554,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,05/28/2015,19:53,MISSION,"ARREST, BOOKED",2900 Block of 16TH ST,-122.4192025,37.76502443,"(37.7650244301204, -122.41920245941)",1.50E+13
150466651,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,19:30,CENTRAL,NONE,GRANT AV / BEACH ST,-122.4090552,37.80810996,"(37.8081099573456, -122.40905521632)",1.50E+13
150466491,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,05/28/2015,19:25,SOUTHERN,"ARREST, BOOKED",HOWARD ST / 3RD ST,-122.4004736,37.78502906,"(37.7850290611875, -122.400473580152)",1.50E+13
150466491,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Thursday,05/28/2015,19:25,SOUTHERN,"ARREST, BOOKED",HOWARD ST / 3RD ST,-122.4004736,37.78502906,"(37.7850290611875, -122.400473580152)",1.50E+13
150466485,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,05/28/2015,19:15,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / TURK ST,-122.4140563,37.78279311,"(37.7827931071006, -122.414056291891)",1.50E+13
150466485,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,05/28/2015,19:15,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / TURK ST,-122.4140563,37.78279311,"(37.7827931071006, -122.414056291891)",1.50E+13
150467966,LARCENY/THEFT,PETTY THEFT AUTO STRIP,Thursday,05/28/2015,19:15,BAYVIEW,NONE,GOETTINGEN ST / BURROWS ST,-122.4070647,37.7280587,"(37.7280587024631, -122.407064651909)",1.50E+13
156132666,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,19:15,TENDERLOIN,NONE,JONES ST / ELLIS ST,-122.4127841,37.78486569,"(37.7848656939526, -122.412784096502)",1.56E+13
150466479,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Thursday,05/28/2015,19:08,RICHMOND,NONE,700 Block of ANZA ST,-122.4543453,37.78012262,"(37.7801226188455, -122.454345302417)",1.50E+13
150466504,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,05/28/2015,19:05,BAYVIEW,NONE,1800 Block of PALOU AV,-122.395162,37.73645714,"(37.7364571443964, -122.395161979914)",1.50E+13
150466504,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Thursday,05/28/2015,19:05,BAYVIEW,NONE,1800 Block of PALOU AV,-122.395162,37.73645714,"(37.7364571443964, -122.395161979914)",1.50E+13
150466504,ASSAULT,THREATS AGAINST LIFE,Thursday,05/28/2015,19:05,BAYVIEW,NONE,1800 Block of PALOU AV,-122.395162,37.73645714,"(37.7364571443964, -122.395161979914)",1.50E+13
150466548,ARSON,ARSON,Thursday,05/28/2015,19:00,CENTRAL,NONE,300 Block of GEARY ST,-122.4090772,37.78730642,"(37.7873064204439, -122.409077157261)",1.50E+13
150467148,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,19:00,NORTHERN,NONE,POLK ST / SUTTER ST,-122.4201203,37.78775706,"(37.7877570602411, -122.420120319204)",1.50E+13
150468102,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,19:00,MISSION,NONE,FOLSOM ST / 20TH ST,-122.4146931,37.75889559,"(37.7588955947572, -122.414693065257)",1.50E+13
150472294,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,19:00,NORTHERN,NONE,STEINER ST / ELLIS ST,-122.4341655,37.78214903,"(37.7821490263522, -122.434165498104)",1.50E+13
156128580,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,05/28/2015,19:00,NORTHERN,NONE,LOMBARD ST / STEINER ST,-122.4376985,37.79963284,"(37.7996328370724, -122.437698529469)",1.56E+13
156128756,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,05/28/2015,19:00,TARAVAL,NONE,LINCOLN WY / 43RD AV,-122.5029746,37.7643095,"(37.7643095016705, -122.50297457672)",1.56E+13
150467427,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Thursday,05/28/2015,18:55,SOUTHERN,NONE,0 Block of ELGINPARK ST,-122.4231552,37.77064189,"(37.7706418946037, -122.423155228838)",1.50E+13
150466758,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,05/28/2015,18:45,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.4058954,37.78673422,"(37.7867342184983, -122.405895369887)",1.50E+13
150466322,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,05/28/2015,18:37,SOUTHERN,"ARREST, BOOKED",HOWARD ST / 3RD ST,-122.4004736,37.78502906,"(37.7850290611875, -122.400473580152)",1.50E+13
150466322,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Thursday,05/28/2015,18:37,SOUTHERN,"ARREST, BOOKED",HOWARD ST / 3RD ST,-122.4004736,37.78502906,"(37.7850290611875, -122.400473580152)",1.50E+13
150466300,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,05/28/2015,18:36,NORTHERN,"ARREST, BOOKED",BROADWAY ST / VANNESS AV,-122.4234131,37.79573711,"(37.795737109246, -122.423413057205)",1.50E+13
150466316,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,05/28/2015,18:31,TENDERLOIN,"ARREST, BOOKED",100 Block of LEAVENWORTH ST,-122.4140298,37.78232912,"(37.7823291237659, -122.414029821727)",1.50E+13
150466316,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,05/28/2015,18:31,TENDERLOIN,"ARREST, BOOKED",100 Block of LEAVENWORTH ST,-122.4140298,37.78232912,"(37.7823291237659, -122.414029821727)",1.50E+13
150466877,ARSON,ARSON,Thursday,05/28/2015,18:30,MISSION,"ARREST, BOOKED",200 Block of DORLAND ST,-122.4295679,37.7620293,"(37.7620293003384, -122.429567892224)",1.50E+13
150466877,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,05/28/2015,18:30,MISSION,"ARREST, BOOKED",200 Block of DORLAND ST,-122.4295679,37.7620293,"(37.7620293003384, -122.429567892224)",1.50E+13
150469906,LARCENY/THEFT,GRAND THEFT BICYCLE,Thursday,05/28/2015,18:30,INGLESIDE,NONE,800 Block of TERESITA BL,-122.4461743,37.73387957,"(37.7338795719161, -122.446174329154)",1.50E+13
150469906,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,05/28/2015,18:30,INGLESIDE,NONE,800 Block of TERESITA BL,-122.4461743,37.73387957,"(37.7338795719161, -122.446174329154)",1.50E+13
150466269,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,05/28/2015,18:18,BAYVIEW,"ARREST, BOOKED",SAN BRUNO AV / PAUL AV,-122.4021095,37.72403765,"(37.7240376461441, -122.402109488937)",1.50E+13
150467875,NON-CRIMINAL,LOST PROPERTY,Thursday,05/28/2015,18:15,CENTRAL,NONE,MONTGOMERY ST / BUSH ST,-122.402384,37.79097001,"(37.7909700100406, -122.402384024411)",1.50E+13
150467110,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,18:00,BAYVIEW,NONE,0 Block of WHITFIELD CT,-122.3817576,37.73101487,"(37.7310148735637, -122.381757562453)",1.50E+13
150466407,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,05/28/2015,18:00,MISSION,NONE,200 Block of DUBOCE AV,-122.4254693,37.76973647,"(37.7697364666076, -122.425469267279)",1.50E+13
150466645,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,18:00,TENDERLOIN,NONE,0 Block of GOLDEN GATE AV,-122.4112686,37.78225009,"(37.7822500873167, -122.411268613368)",1.50E+13
150469376,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,18:00,MISSION,NONE,2400 Block of MISSION ST,-122.4188873,37.75762172,"(37.7576217212029, -122.418887293065)",1.50E+13
150469508,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,18:00,TARAVAL,NONE,25TH AV / SLOAT BL,-122.4811336,37.73447025,"(37.734470249439, -122.481133598212)",1.50E+13
156128035,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,18:00,CENTRAL,NONE,PINE ST / GRANT AV,-122.4057448,37.79149808,"(37.7914980828425, -122.405744762009)",1.56E+13
150466275,WARRANTS,WARRANT ARREST,Thursday,05/28/2015,17:58,MISSION,"ARREST, BOOKED",3900 Block of 24TH ST,-122.4307942,37.7515575,"(37.7515574999223, -122.430794211054)",1.50E+13
150466275,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Thursday,05/28/2015,17:58,MISSION,"ARREST, BOOKED",3900 Block of 24TH ST,-122.4307942,37.7515575,"(37.7515574999223, -122.430794211054)",1.50E+13
150466275,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Thursday,05/28/2015,17:58,MISSION,"ARREST, BOOKED",3900 Block of 24TH ST,-122.4307942,37.7515575,"(37.7515574999223, -122.430794211054)",1.50E+13
150466231,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,05/28/2015,17:45,NORTHERN,NONE,600 Block of MARINA BL,-122.4448163,37.80538917,"(37.8053891667025, -122.444816291636)",1.50E+13
150466247,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,05/28/2015,17:40,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.4058954,37.78673422,"(37.7867342184983, -122.405895369887)",1.50E+13
150466247,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Thursday,05/28/2015,17:40,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.4058954,37.78673422,"(37.7867342184983, -122.405895369887)",1.50E+13
150466770,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,05/28/2015,17:40,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.4084211,37.78356994,"(37.7835699386918, -122.408421116922)",1.50E+13
150466338,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,05/28/2015,17:36,CENTRAL,NONE,0 Block of BAY ST,-122.4064296,37.80656886,"(37.8065688614525, -122.406429633461)",1.50E+13
150466861,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,05/28/2015,17:30,SOUTHERN,NONE,800 Block of 3RD ST,-122.3914251,37.77787278,"(37.7778727797586, -122.391425069857)",1.50E+13
150467847,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,17:30,NORTHERN,NONE,1400 Block of FILLMORE ST,-122.4326809,37.78282145,"(37.782821449014, -122.432680942926)",1.50E+13
156128524,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,17:30,RICHMOND,NONE,9TH AV / CLEMENT ST,-122.4676302,37.78280117,"(37.7828011737968, -122.467630230392)",1.56E+13
